net_number,Species,obs_yr,num_birds,perc_species
0,NOCA,2012,1,100
1,ACFL,2008,1,1.1627906976744187
1,ACFL,2011,1,1.5384615384615385
1,ACFL,2015,1,0.8695652173913043
1,AMGO,2007,44,34.10852713178294
1,AMGO,2008,16,18.6046511627907
1,AMGO,2009,21,16.666666666666664
1,AMGO,2010,16,13.675213675213676
1,AMGO,2011,1,1.5384615384615385
1,AMGO,2012,3,5.172413793103448
1,AMGO,2013,3,9.090909090909092
1,AMGO,2015,10,8.695652173913043
1,AMGO,2017,1,14.285714285714285
1,AMGO,2018,53,29.943502824858758
1,AMRO,2015,1,0.8695652173913043
1,BGGN,2009,2,1.5873015873015872
1,BHCO,2010,1,0.8547008547008548
1,BHCO,2011,1,1.5384615384615385
1,BHNU,2007,1,0.7751937984496124
1,BHNU,2009,2,1.5873015873015872
1,BHNU,2010,2,1.7094017094017095
1,BHNU,2011,2,3.076923076923077
1,BHNU,2014,1,4.166666666666666
1,BHNU,2020,1,6.666666666666667
1,BLGR,2010,1,0.8547008547008548
1,BRTH,2012,1,1.7241379310344827
1,CACH,2007,41,31.782945736434108
1,CACH,2008,12,13.953488372093023
1,CACH,2009,6,4.761904761904762
1,CACH,2010,8,6.837606837606838
1,CACH,2011,14,21.53846153846154
1,CACH,2012,5,8.620689655172415
1,CACH,2013,2,6.0606060606060606
1,CACH,2014,6,25
1,CACH,2015,13,11.304347826086957
1,CACH,2018,19,10.734463276836157
1,CACH,2019,10,18.51851851851852
1,CACH,2020,3,20
1,CARW,2008,3,3.488372093023256
1,CARW,2009,4,3.1746031746031744
1,CARW,2010,4,3.418803418803419
1,CARW,2011,6,9.230769230769232
1,CARW,2012,7,12.068965517241379
1,CARW,2013,2,6.0606060606060606
1,CARW,2014,2,8.333333333333332
1,CARW,2015,6,5.217391304347826
1,CARW,2016,2,50
1,CARW,2018,8,4.519774011299435
1,CARW,2019,6,11.11111111111111
1,CARW,2020,1,6.666666666666667
1,CHSP,2007,28,21.705426356589147
1,CHSP,2008,1,1.1627906976744187
1,CHSP,2009,10,7.936507936507936
1,CHSP,2010,24,20.51282051282051
1,CHSP,2011,6,9.230769230769232
1,CHSP,2012,10,17.24137931034483
1,CHSP,2013,2,6.0606060606060606
1,CHSP,2014,2,8.333333333333332
1,CHSP,2015,13,11.304347826086957
1,CHSP,2018,19,10.734463276836157
1,CHSP,2019,18,33.33333333333333
1,CHSP,2020,2,13.333333333333334
1,COYE,2012,1,1.7241379310344827
1,COYE,2019,2,3.7037037037037033
1,DOWO,2008,1,1.1627906976744187
1,DOWO,2009,1,0.7936507936507936
1,DOWO,2010,2,1.7094017094017095
1,EAPH,2008,1,1.1627906976744187
