obs_yr,Species,tot_birds,bpnh
2007,CARW,2,0.01073191672032625
2007,COYE,5,0.026829791800815624
2007,EABL,16,0.08585533376261
2007,EAPH,3,0.016097875080489373
2007,FISP,14,0.07512341704228374
2007,INBU,1,0.005365958360163125
2007,NOCA,2,0.01073191672032625
2007,NOMO,1,0.005365958360163125
2007,PAWA,15,0.08048937540244687
2007,SAVS,10,0.05365958360163125
2007,SOSP,35,0.18780854260570937
2007,SWSP,18,0.09658725048293625
2007,YBCH,1,0.005365958360163125
2008,AMGO,1,0.0016900456312320432
2008,CARW,9,0.015210410681088388
2008,COYE,9,0.015210410681088388
2008,EABL,2,0.0033800912624640865
2008,EAPH,7,0.011830319418624302
2008,FISP,36,0.06084164272435355
2008,INBU,3,0.0050701368936961295
2008,NOCA,1,0.0016900456312320432
2008,NOMO,4,0.006760182524928173
2008,PAWA,19,0.03211086699340882
2008,SAVS,45,0.07605205340544194
2008,SOSP,140,0.23660638837248604
2008,SWSP,90,0.15210410681088388
2008,YBCH,1,0.0016900456312320432
2009,AMGO,2,0.0020891219420477573
2009,BLGR,17,0.017757536507405938
2009,CARW,11,0.011490170681262665
2009,COYE,36,0.037604194956859634
2009,EABL,7,0.007311926797167151
2009,EAPH,73,0.07625295088474314
2009,FISP,16,0.016712975536382058
2009,INBU,15,0.01566841456535818
2009,NOCA,9,0.009401048739214908
2009,NOMO,12,0.012534731652286543
2009,PAWA,13,0.013579292623310422
2009,SAVS,6,0.006267365826143271
2009,SOSP,86,0.08983224350805356
2009,SWSP,69,0.07207470700064762
2009,YBCH,5,0.005222804855119393
2010,AMGO,79,0.06933047820477942
2010,BLGR,7,0.006143206929537417
2010,CARW,15,0.013164014849008749
2010,COYE,32,0.02808323167788533
2010,EABL,31,0.027205630687951416
2010,EAPH,26,0.022817625738281833
2010,FISP,21,0.01842962078861225
2010,INBU,25,0.021940024748347917
2010,NOCA,10,0.008776009899339167
2010,NOMO,13,0.011408812869140916
2010,PAWA,34,0.029838433657753165
2010,SAVS,158,0.13866095640955883
2010,SOSP,110,0.09653610889273083
2010,SWSP,187,0.16411138511764242
2011,AMGO,8,0.006212144742972512
2011,BLGR,15,0.011647771393073459
2011,CARW,18,0.01397732567168815
2011,COYE,82,0.06367448361546824
2011,EABL,6,0.004659108557229384
2011,EAPH,19,0.014753843764559715
2011,FISP,44,0.034166796086348816
2011,INBU,51,0.03960242273644976
2011,NOCA,22,0.017083398043174408
2011,NOMO,26,0.02018947041466066
2011,PAWA,71,0.05513278459388104
2011,SAVS,40,0.031060723714862556
2011,SOSP,97,0.0753222550085417
2011,SWSP,128,0.09939431588756019
2011,YBCH,17,0.013200807578816587
2012,AMGO,51,0.04341386179069411
2012,BLGR,17,0.014471287263564704
2012,CARW,13,0.011066278495667126
2012,COYE,72,0.06129015782215639
2012,EABL,4,0.0034050087678975773
2012,EAPH,56,0.047670122750566084
2012,FISP,59,0.050223879326489265
2012,INBU,34,0.028942574527129408
2012,NOCA,15,0.012768782879615914
2012,NOMO,53,0.0451163661746429
2012,PAWA,78,0.06639767097400276
2012,SAVS,9,0.007661269727769549
2012,SOSP,78,0.06639767097400276
2012,SWSP,104,0.08853022796533701
2012,YBCH,27,0.022983809183308647
2013,AMGO,15,0.012491048082207752
2013,BLGR,8,0.006661892310510801
2013,CARW,19,0.015821994237463152
2013,COYE,53,0.04413503655713406
2013,EABL,4,0.0033309461552554005
2013,EAPH,30,0.024982096164415504
2013,FISP,53,0.04413503655713406
2013,INBU,17,0.014156521159835452
2013,NOCA,11,0.009160101926952352
2013,NOMO,9,0.007494628849324651
2013,PAWA,25,0.020818413470346252
2013,SAVS,5,0.004163682694069251
2013,SOSP,93,0.07744449810968806
2013,SWSP,161,0.13407058274902986
2013,YBCH,12,0.009992838465766202
2014,AMGO,16,0.01179714803946146
2014,BLGR,15,0.011059826286995119
2014,CARW,34,0.025068939583855605
2014,COYE,79,0.05824841844484096
2014,EABL,9,0.006635895772197071
2014,EAPH,24,0.01769572205919219
2014,FISP,49,0.036128765870850725
2014,INBU,39,0.02875554834618731
2014,NOCA,15,0.011059826286995119
2014,NOMO,16,0.01179714803946146
2014,PAWA,54,0.03981537463318243
2014,SAVS,35,0.025806261336321943
2014,SOSP,72,0.05308716617757657
2014,SWSP,111,0.08184271452376388
2014,YBCH,20,0.014746435049326826
2015,AMGO,39,0.02734673557109099
2015,BLGR,14,0.009816776871673689
2015,CARW,41,0.028749132267044376
2015,COYE,83,0.05819946288206544
